sample_id,production_year,coverage_hifi,deepconsensus_coverage_hifi,coverage_non_dc,coverage_mm_hifi,hifi_prod_site,n50_hifi,phasing,coverage_hic,coverage_ill,total_reads_kinnex,coverage_ont,coverage_100kb_ont,read_N50_ont,sequencing_chemistry_ont,notes
HG03672,YR4,60.41,0,60.41,60.41,RU,19396.59,hic,87.42,54.73,10822281,108.82,34.56,69242,R1041,
HG03778,YR4,53.06,0,53.06,53.06,UW,18291.96,hic,110.18,40.33,15416170,78.78,37.82,96781,R1041,
HG03784,YR4,62.5,0,62.50,62.5,WUSTL,19689.54,hic,140.18,37.52,16372445,58.15,24.53,85553,R1041,top up ONT UL being done
HG03792,YR4,61,0,61.00,61,WUSTL,17123.19,hic,49.68,34.18,13583591,51.64,23.38,91691,R1041,top up ONT UL being done
HG03874,YR4,61.6,0,61.60,61.6,RU,21046.72,hic,35.94,38.11,16123842,85.6,34.36,85562,R1041,
HG03919,YR4,62.29,0,62.29,62.29,WUSTL,21304.37,hic,101.68,39.33,14687411,90.23,19.82,60765,R1041,top up ONT UL being done
HG04153,YR4,62,0,62.00,62,RU,18262.99,hic,93.9,46.88,18523881,48.59,21.77,90733,R1041,top up ONT UL being done
HG04225,YR4,62.62,0,62.62,62.62,UW,17417.25,hic,62.94,41.76,15199193,55.35,29.23,106704,R1041,
NA18505,YR4,61.4,0,61.40,61.4,RU,19826.76,hic,49.8,41.03,45011711,81.55,17.97,53370,R1041,top up ONT UL being done
NA18508,YR4,61.3,0,61.30,61.3,UW,21475.58,hic,34.98,51.25,15357208,80.6,42.83,106359,R1041,
NA18565,YR4,62.9,0,62.90,62.9,WUSTL,17803.1,hic,87.84,56.83,14672154,60.3,25.09,83677,R1041,
NA18608,YR4,61.7,0,61.70,61.7,WUSTL,19218.8,hic,35.02,35.33,19904345,77.66,35.16,90369,R1041,
NA18620,YR4,68.2,0,68.20,68.2,RU,19631.33,hic,47.08,38.89,17479680,79.88,37.58,93566,R1041,
NA18871,YR4,57.67,0,57.67,57.67,UW,17762.5,hic,76.14,44.79,16580482,54.57,22.95,84998,R1041,top up ONT UL being done
NA18879,YR4,63.8,0,63.80,63.8,UW,19023.38,hic,89.28,43.62,12084927,55.34,21.12,77873,R1041,top up ONT UL being done
NA18952,YR4,76.3,0,76.30,76.3,WUSTL,18546.36,hic,117.2,37.69,16864717,77.19,28.13,77050,R1041,
NA18974,YR4,81.6,0,81.60,81.6,WUSTL,20114.88,hic,31.86,46.4,18980779,86.19,34.17,82284,R1041,
NA18976,YR4,73.4,0,73.40,73.4,WUSTL,19921.28,hic,46.1,35.19,13681723,65.82,23.99,76198,R1041,top up ONT UL being done
NA19012,YR4,58.81,0,58.81,58.81,UW,17333.02,hic,79.8,37.88,14301424,83.99,39.74,94726,R1041,
NA19036,YR4,64.3,0,64.30,64.3,RU,17685.54,hic,54.04,53.82,16751355,92.97,35.82,84267,R1041,
NA19042,YR4,56.83,0,56.83,56.83,RU,20392.16,hic,96.4,39.58,14531781,67.04,33.94,101777,R1041,
NA19099,YR4,61.12,0,61.12,61.12,WUSTL,20054.36,hic,75.32,38.76,8435735,63.8,27.42,87503,R1041,
NA19120,YR4,66.22,0,66.22,66.22,WUSTL,17973.6,hic,222.58,29.85,16828196,59.12,30.88,104554,R1041,
NA19131,YR4,60.48,0,60.48,60.48,RU,20684,hic,53.1,40.79,15664613,83.6,39.33,94308,R1041,
NA19175,YR4,62.2,0,62.20,62.2,RU,18721.4,hic,80.84,37.42,14894172,95.64,43.97,91305,R1041,
NA19190,YR4,67.02,0,67.02,67.02,UW,20722.11,hic,85.2,39.82,11314504,90.84,22.93,57943,R1041,top up ONT UL being done
NA19390,YR4,59.69,0,59.69,59.69,UW,19612.18,hic,89.52,31.82,15201254,66.39,31.58,95711,R1041,
NA19443,YR4,62.8,0,62.80,62.8,UW,24462.42,hic,54.52,36.16,14102830,70.86,26.43,79666,R1041,
NA19682,YR4,62.6,0,62.60,62.6,UW,21160.43,hic,150.84,34.54,13446714,87.82,28.35,71168,R1041,
NA19700,YR4,60.6,0,60.60,60.6,UW,20482.82,hic,42.68,36.05,17007320,63.77,37.28,117992,R1041,
NA19703,YR4,64.6,0,64.60,64.6,RU,19703.84,hic,72.6,34.24,,76.11,32.94,87642,R1041,
NA19776,YR4,62.4,0,62.40,62.4,UW,18123.33,hic,181.08,35.56,14163550,91.99,34.93,76285,R1041,
NA19834,YR4,78.43,0,78.43,78.43,WUSTL,20196.07,hic,67.66,43.09,9257172,58.99,23.48,81345,R1041,top up ONT UL being done
NA19835,YR4,62.4,0,62.40,62.4,RU,19763.24,hic,198.52,45.52,15652847,83.93,38,91122,R1041,
NA19909,YR4,189.8,0,189.80,189.8,WUSTL,18957.93,hic,151.42,35.32,14530598,80.95,27.78,72548,R1041,
NA20282,YR4,69.8,0,69.80,69.8,WUSTL,19999.88,hic,94.1,34.21,16099858,69.78,26.65,79414,R1041,
NA20287,YR4,56.44,0,56.44,56.44,RU,23637.93,hic,60.1,55.61,10869252,54.97,20.78,76677,R1041,top up ONT UL being done
NA20346,YR4,60.1,0,60.10,60.1,WUSTL,19706.3,hic,99.16,35.84,14244462,88.51,27.31,69748,R1041,
NA20809,YR4,59.1,0,59.10,59.1,WUSTL,18655.95,hic,84.54,36.31,19769387,70.61,25.31,74397,R1041,
NA20818,YR4,67.87,0,67.87,67.87,WUSTL,18447.08,hic,88.92,34.85,15474489,84.98,36.81,86501,R1041,
NA20850,YR4,60.6,0,60.60,60.6,UW,18369.27,hic,88.14,50.96,14770436,64.66,20,64073,R1041,top up ONT UL being done
NA20858,YR4,57.14,0,57.14,57.14,WUSTL,19316.15,hic,172.42,34.58,13558779,50.71,30.17,121720,R1041,
NA20870,YR4,70.3,0,70.30,70.3,RU,16384.99,hic,70.88,34.65,15631798,80.27,26.46,71688,R1041,
NA21093,YR4,62.5,0,62.50,62.5,UW,19647.71,hic,47.9,46.45,13420815,97.93,34.97,77037,R1041,
NA21102,YR4,62.3,0,62.30,62.3,WUSTL,18520.38,hic,65.18,44.04,16952868,61.34,29.8,98639,R1041,
